User-ID,Location,Age,city,state,country
2630,"kingsland, texas, usa",66,kingsland,texas,usa
2719,"staten island, new york, usa",37,staten island,new york,usa
2766,"frisco, texas, usa",42,frisco,texas,usa
2790,"san antonio, texas, usa",50,san antonio,texas,usa
2793,"jefferson, georgia, usa",34,jefferson,georgia,usa
2799,"eugene, oregon, usa",,eugene,oregon,usa
2855,"dallas, texas, usa",35,dallas,texas,usa
2891,"beaverton, oregon, usa",,beaverton,oregon,usa
2907,"new york, new york, usa",,new york,new york,usa
2977,"richland, washington, usa",25,richland,washington,usa
3017,"roma, lazio, italy",,roma,lazio,italy
3079,"asheville, north carolina, usa",,asheville,north carolina,usa
3100,"oakland, california, usa",42,oakland,california,usa
3106,"memphis, tennessee, usa",,memphis,tennessee,usa
3145,"austin, texas, usa",34,austin,texas,usa
3167,"milwaukee, wisconsin, usa",42,milwaukee,wisconsin,usa
3192,"milwaukee, wisconsin, usa",,milwaukee,wisconsin,usa
3266,"stockholm, n/a, sweden",,stockholm,n/a,sweden
3282,"didsbury, alberta, canada",52,didsbury,alberta,canada
3329,"grantsville, utah, usa",,grantsville,utah,usa
3331,"mckeesport, pennsylvania, usa",60,mckeesport,pennsylvania,usa
3346,"tehran, tehran, iran",20,tehran,tehran,iran
3363,"knoxville, tennessee, usa",29,knoxville,tennessee,usa
3371,"groveland, massachusetts, usa",25,groveland,massachusetts,usa
3373,"elk grove, california, usa",30,elk grove,california,usa
3416,"aachen, nordrhein-westfalen, germany",34,aachen,nordrhein-westfalen,germany
3471,"victoria, british columbia, canada",,victoria,british columbia,canada
3481,"littleton, colorado, usa",49,littleton,colorado,usa
3542,"jersey city, new jersey, usa",,jersey city,new jersey,usa
3556,"bismarck, north dakota, usa",68,bismarck,north dakota,usa
3573,"fair lawn, new jersey, usa",32,fair lawn,new jersey,usa
3578,"halifax, nova scotia, canada",25,halifax,nova scotia,canada
3640,"sacramento, california, usa",,sacramento,california,usa
3643,"robbinsdale, minnesota, usa",,robbinsdale,minnesota,usa
3693,"hampton, virginia, usa",23,hampton,virginia,usa
3757,"madrid, madrid, spain",,madrid,madrid,spain
3761,"san diego, california, usa",,san diego,california,usa
3799,"norwich, england, united kingdom",18,norwich,england,united kingdom
3817,"columbia, south carolina, usa",29,columbia,south carolina,usa
3827,"orlando, florida, usa",23,orlando,florida,usa
3840,"meriden, connecticut, usa",46,meriden,connecticut,usa
3917,"toronto, ontario, canada",25,toronto,ontario,canada
3923,"vienna, ,",,vienna,,
3944,"lloydminster, saskatchewan, canada",,lloydminster,saskatchewan,canada
3977,"columbiana, alabama, usa",63,columbiana,alabama,usa
4017,"new orleans, louisiana, usa",48,new orleans,louisiana,usa
4066,"birmingham, alabama, usa",31,birmingham,alabama,usa
4091,"estill springs, tennessee, usa",77,estill springs,tennessee,usa
4092,"hixson, tennessee, usa",27,hixson,tennessee,usa
4114,"augsburg, bayern, germany",,augsburg,bayern,germany
4131,"hemel hempstead, england, united kingdom",51,hemel hempstead,england,united kingdom
4157,"birmingham, alabama, usa",39,birmingham,alabama,usa
4221,"n/a, connecticut, usa",,n/a,connecticut,usa
4228,"austin, texas, usa",41,austin,texas,usa
4334,"rome, lazio, italy",38,rome,lazio,italy
4385,"albq, new mexico, usa",33,albq,new mexico,usa
4483,"aldergrove, british columbia, canada",,aldergrove,british columbia,canada
4541,"atlanta, georgia, usa",32,atlanta,georgia,usa
4570,"santa monica, california, usa",40,santa monica,california,usa
4571,"melbourne, victoria, australia",23,melbourne,victoria,australia
4600,"little rock, arkansas, usa",32,little rock,arkansas,usa
4622,"norfolk, virginia, usa",18,norfolk,virginia,usa
4785,"litchfield, connecticut, usa",30,litchfield,connecticut,usa
4795,"rochester, new york, usa",18,rochester,new york,usa
4895,"moreno valley, california, usa",,moreno valley,california,usa
4896,"ploiesti, prahova, romania",18,ploiesti,prahova,romania
4900,"washington, dc,",26,washington,dc,
4938,"charleston, south carolina, usa",30,charleston,south carolina,usa
5037,"dodge center, minnesota, usa",26,dodge center,minnesota,usa
5209,"medford, new jersey, usa",48,medford,new jersey,usa
5268,"chandler, arizona, usa",,chandler,arizona,usa
5286,"dallas, texas, usa",18,dallas,texas,usa
5331,"hull, england, united kingdom",26,hull,england,united kingdom
5375,"placerville, california, usa",47,placerville,california,usa
5414,"lakewood, washington, usa",,lakewood,washington,usa
5439,"houston, texas, usa",66,houston,texas,usa
5448,"pine bush, new york, usa",14,pine bush,new york,usa
5476,"chester, ,",,chester,,
5483,"bayan lepas, penang, malaysia",20,bayan lepas,penang,malaysia
5499,"lakeland, tennessee,",60,lakeland,tennessee,
5539,"austin, texas, usa",32,austin,texas,usa
5543,"cumberland, maryland, usa",29,cumberland,maryland,usa
5555,"perigny, poitou-charentes, france",,perigny,poitou-charentes,france
5582,"seattle, washington, usa",26,seattle,washington,usa
5609,"oradea, bihor, romania",25,oradea,bihor,romania
5669,"chicago, illinois, usa",,chicago,illinois,usa
5694,"lake forest, california, usa",43,lake forest,california,usa
5703,"gambier, ohio, usa",,gambier,ohio,usa
5728,"cullowhee, north carolina, usa",22,cullowhee,north carolina,usa
5777,"the san francisco bay area, california, usa",,the san francisco bay area,california,usa
5783,"fullerton, california, usa",32,fullerton,california,usa
5899,"ulm, baden-wuerttemberg, germany",25,ulm,baden-wuerttemberg,germany
5903,"vienna, vienna, austria",25,vienna,vienna,austria
5963,"san diego, california, usa",38,san diego,california,usa
5975,"manchester, new hampshire, usa",,manchester,new hampshire,usa
6007,"ajax, ontario, canada",,ajax,ontario,canada
6011,"sterling heights, michigan, usa",15,sterling heights,michigan,usa
6073,"houston, texas, usa",28,houston,texas,usa
6092,"weybridge, surrey, united kingdom",,weybridge,surrey,united kingdom
6102,"jamaica, , usa",28,jamaica,,usa
6115,"kerrville, texas, usa",,kerrville,texas,usa
6120,"elizabethtown, kentucky, usa",36,elizabethtown,kentucky,usa
6238,"silsden, keighley, west yorkshire, united kingdom",38,silsden,keighley,"west yorkshire, united kingdom"
6242,"calgary, alberta, canada",,calgary,alberta,canada
6251,"wahiawa, hawaii, usa",32,wahiawa,hawaii,usa
6280,"a coruÃ±a, , spain",46,a coruÃ±a,,spain
6323,"wilmington, north carolina, usa",35,wilmington,north carolina,usa
6330,"letchworth garden city, england,",37,letchworth garden city,england,
6333,"san jose, california, usa",45,san jose,california,usa
6345,"lake geneva, wisconsin, usa",29,lake geneva,wisconsin,usa
6368,"spartanburg, south carolina, usa",26,spartanburg,south carolina,usa
6431,"wylie, texas, usa",30,wylie,texas,usa
6432,"burnaby, british columbia, canada",21,burnaby,british columbia,canada
6532,"new westminster, british columbia, canada",,new westminster,british columbia,canada
6537,"norfolk, ,",28,norfolk,,
6543,"strafford, missouri, usa",34,strafford,missouri,usa
6563,"burien, washington, usa",31,burien,washington,usa
6564,"lisboa, estremadura, portugal",37,lisboa,estremadura,portugal
6566,"port angeles, washington, usa",,port angeles,washington,usa
6575,"seattle, washington, usa",,seattle,washington,usa
6577,"coral springs, florida, usa",62,coral springs,florida,usa
6611,"oradea, n/a, romania",22,oradea,n/a,romania
6662,"toronto, ontario, canada",31,toronto,ontario,canada
6689,"east lansing, michigan, usa",,east lansing,michigan,usa
6769,"olympia, washington, usa",56,olympia,washington,usa
6772,"calgary, ,",,calgary,,
6840,"gloucester, massachusetts, usa",17,gloucester,massachusetts,usa
6866,"paris, ile de france, france",51,paris,ile de france,france
6871,"raleigh, north carolina, usa",28,raleigh,north carolina,usa
6893,"cartersville, georgia, usa",20,cartersville,georgia,usa
6900,"sunnyvale, california, usa",25,sunnyvale,california,usa
6990,"omaha, nebraska, usa",29,omaha,nebraska,usa
7079,"aurora, ontario, canada",,aurora,ontario,canada
7082,"carlisle, pennsylvania, usa",,carlisle,pennsylvania,usa
7105,"chertsey, england, united kingdom",,chertsey,england,united kingdom
7125,"apo, ae, usa",28,apo,ae,usa
7128,"apo, ae, usa",8,apo,ae,usa
7134,"bothell, washington, usa",23,bothell,washington,usa
7158,"omaha, nebraska, usa",30,omaha,nebraska,usa
7210,"rothesay, new brunswick, canada",,rothesay,new brunswick,canada
7283,"saint marys, georgia, usa",30,saint marys,georgia,usa
7286,"pasco, washington, usa",28,pasco,washington,usa
7312,"walnut ridge, arkansas, usa",23,walnut ridge,arkansas,usa
7326,"st. louis, missouri, usa",44,st. louis,missouri,usa
7341,"half moon bay, california, usa",,half moon bay,california,usa
7346,"sunnyvale, california, usa",49,sunnyvale,california,usa
7348,"edmonton, alberta, canada",24,edmonton,alberta,canada
7352,"houston, texas, usa",53,houston,texas,usa
7371,"winnipeg, manitoba, canada",26,winnipeg,manitoba,canada
7482,"macarthur, west virginia, usa",49,macarthur,west virginia,usa
7509,"manhattan beach, california, usa",,manhattan beach,california,usa
7528,"arlington heights, illinois, usa",,arlington heights,illinois,usa
7557,"graham, washington, usa",23,graham,washington,usa
7565,"grosse pointe, michigan, usa",,grosse pointe,michigan,usa
7569,"tulsa, , usa",22,tulsa,,usa
7620,"knoxville, tennessee, usa",21,knoxville,tennessee,usa
7630,"lincoln, nebraska, usa",49,lincoln,nebraska,usa
7651,"olive branch, mississippi, usa",21,olive branch,mississippi,usa
7809,"seattle, washington, usa",,seattle,washington,usa
7819,"seattle, ,",27,seattle,,
7841,"salt lake city, utah, usa",,salt lake city,utah,usa
7860,"northfield, massachusetts, usa",,northfield,massachusetts,usa
7882,"milwaukee, wisconsin, usa",34,milwaukee,wisconsin,usa
7887,"altoona, pennsylvania, usa",23,altoona,pennsylvania,usa
7913,"mission hills, california, usa",43,mission hills,california,usa
7915,"st. paul, minnesota, usa",,st. paul,minnesota,usa
7958,"oeiras, lisbon, portugal",27,oeiras,lisbon,portugal
7980,"cambridge, massachusetts, usa",34,cambridge,massachusetts,usa
8019,"toronto, ontario, canada",,toronto,ontario,canada
8027,"burlington, vermont, usa",,burlington,vermont,usa
8066,"chicago, illinois, usa",,chicago,illinois,usa
8067,"owings mills, maryland, usa",26,owings mills,maryland,usa
8089,"durham, new hampshire, usa",,durham,new hampshire,usa
8167,"cambridge, ,",39,cambridge,,
8187,"bend, oregon, usa",,bend,oregon,usa
8234,"colorado springs, colorado, usa",44,colorado springs,colorado,usa
8245,"torrance, california, usa",31,torrance,california,usa
8250,"carrollton, texas, usa",34,carrollton,texas,usa
8253,"tulsa, oklahoma, usa",26,tulsa,oklahoma,usa
8255,"savage, minnesota, usa",47,savage,minnesota,usa
8284,"manchester, kentucky, usa",28,manchester,kentucky,usa
8290,"shrewsbury, massachusetts, usa",,shrewsbury,massachusetts,usa
8313,"warrenville, illinois, usa",36,warrenville,illinois,usa
8314,"newark, california, usa",36,newark,california,usa
8323,"roy, utah, usa",48,roy,utah,usa
8346,"beverly, west virginia, usa",64,beverly,west virginia,usa
8362,"los angeles, california, usa",28,los angeles,california,usa
8454,"auburndale, massachusetts, usa",,auburndale,massachusetts,usa
8487,"carrollton, texas, usa",30,carrollton,texas,usa
8529,"logroÃ±o, la rioja, spain",,logroÃ±o,la rioja,spain
8570,"rochester, new york, usa",23,rochester,new york,usa
8672,"manassas, virginia, usa",17,manassas,virginia,usa
8680,"st. charles county, missouri, usa",,st. charles county,missouri,usa
8681,"orlando, florida, usa",34,orlando,florida,usa
8695,"redding, california, usa",,redding,california,usa
8734,"chula vista, california, usa",,chula vista,california,usa
8780,"santa cruz, california, usa",,santa cruz,california,usa
8782,"calgary, alberta, canada",,calgary,alberta,canada
8801,"san francisco, california, usa",24,san francisco,california,usa
8839,"toronto, ontario, canada",,toronto,ontario,canada
8864,"st petersburg, florida, usa",26,st petersburg,florida,usa
8870,"austin, texas, usa",45,austin,texas,usa
8872,"athens, georgia, usa",65,athens,georgia,usa
8890,"paris, ile-de-france, france",47,paris,ile-de-france,france
8935,"little elm, texas, usa",35,little elm,texas,usa
8936,"elizabeth city, north carolina, usa",18,elizabeth city,north carolina,usa
8937,"murphysboro, ,",37,murphysboro,,
8955,"bayside, new york, usa",42,bayside,new york,usa
8961,"dekalb, illinois, usa",28,dekalb,illinois,usa
8966,"truth or consequences, new mexico, usa",24,truth or consequences,new mexico,usa
8971,"berlin, berlin, germany",27,berlin,berlin,germany
9029,"gavÃ , barcelona, spain",,gavÃ,barcelona,spain
9094,"albuquerque, new mexico, usa",14,albuquerque,new mexico,usa
9138,"darien, connecticut, usa",,darien,connecticut,usa
9139,"mt. pleasant, michigan, usa",17,mt. pleasant,michigan,usa
9141,"durango, colorado, usa",65,durango,colorado,usa
9174,"denver, colorado, usa",37,denver,colorado,usa
9177,"leicester, leicestershire, united kingdom",26,leicester,leicestershire,united kingdom
9226,"kapolei, hawaii, usa",27,kapolei,hawaii,usa
9227,"glendora, california, usa",24,glendora,california,usa
9289,"kelseyville, california, usa",,kelseyville,california,usa
9313,"lisboa, n/a, portugal",,lisboa,n/a,portugal
9354,"albuquerque, new mexico, usa",30,albuquerque,new mexico,usa
9357,"quechee, vermont, usa",,quechee,vermont,usa
9381,"bagshot, surrey, united kingdom",,bagshot,surrey,united kingdom
9406,"nederland, colorado, usa",,nederland,colorado,usa
9408,"waipahu, hawaii, usa",34,waipahu,hawaii,usa
9417,"whitby, ontario, canada",26,whitby,ontario,canada
9454,"reno, nevada, usa",,reno,nevada,usa
9571,"reinbek, schleswig-holstein, germany",27,reinbek,schleswig-holstein,germany
9574,"lansing, michigan, usa",33,lansing,michigan,usa
9613,"collings lakes, new jersey, usa",34,collings lakes,new jersey,usa
9660,"albuquerque, new mexico, usa",35,albuquerque,new mexico,usa
9718,"brooklyn, new york, usa",35,brooklyn,new york,usa
9747,"o`fallon, missouri, usa",,o`fallon,missouri,usa
9806,"boulder, colorado, usa",25,boulder,colorado,usa
9856,"glendale, colorado, usa",22,glendale,colorado,usa
9908,"woodstock, georgia, usa",36,woodstock,georgia,usa
9974,"san diego, california, usa",,san diego,california,usa
10030,"pittsburgh, pennsylvania, usa",66,pittsburgh,pennsylvania,usa
10067,"watton, norfolk, england",61,watton,norfolk,england
10118,"minneapolis, minnesota, usa",44,minneapolis,minnesota,usa
10199,"eltham, victoria, australia",17,eltham,victoria,australia
10241,"avon, massachusetts, usa",27,avon,massachusetts,usa
10314,"beaverton, oregon, usa",,beaverton,oregon,usa
10351,"seattle, washington, usa",15,seattle,washington,usa
10354,"martinsburg, west virginia, usa",15,martinsburg,west virginia,usa
10433,"roswell, georgia, usa",48,roswell,georgia,usa
10447,"chicago, illinois, usa",,chicago,illinois,usa
10560,"chicago, illinois, usa",27,chicago,illinois,usa
10590,"shah alam, selangor, malaysia",22,shah alam,selangor,malaysia
10607,"plattsburgh, new york, usa",60,plattsburgh,new york,usa
10619,"douglas, alaska, usa",33,douglas,alaska,usa
10660,"luzern, luzern, switzerland",37,luzern,luzern,switzerland
10697,"lexington, kentucky, usa",20,lexington,kentucky,usa
10819,"richmond, kentucky, usa",27,richmond,kentucky,usa
10830,"san francisco, california, usa",21,san francisco,california,usa
10836,"brooklyn, new york, usa",,brooklyn,new york,usa
10921,"middleburg, florida, usa",65,middleburg,florida,usa
10924,"silver lake, missouri, usa",20,silver lake,missouri,usa
10946,"ajax, ontario, canada",,ajax,ontario,canada
10949,"columbia, tennessee, usa",,columbia,tennessee,usa
11120,"kerava, uusimaa, finland",58,kerava,uusimaa,finland
11124,"union city, new jersey, usa",30,union city,new jersey,usa
11169,"winnipeg, manitoba, canada",27,winnipeg,manitoba,canada
11179,"davidson, north carolina, usa",,davidson,north carolina,usa
11201,"groningen, groningen, netherlands",30,groningen,groningen,netherlands
11224,"tumwater, washington, usa",51,tumwater,washington,usa
11245,"scarborough, ontario, canada",,scarborough,ontario,canada
11400,"ottawa, ontario, canada",49,ottawa,ontario,canada
11464,"calgary, alberta, canada",16,calgary,alberta,canada
11521,"st. louis, missouri, usa",24,st. louis,missouri,usa
11529,"richmond, california, usa",,richmond,california,usa
11601,"brooklyn, new york, usa",,brooklyn,new york,usa
11629,"houston, texas, usa",21,houston,texas,usa
11638,"seattle, washington, usa",,seattle,washington,usa
11657,"cincinnati, ohio, usa",25,cincinnati,ohio,usa
11676,"n/a, n/a, n/a",,n/a,n/a,n/a
11687,"orillia, ontario, canada",47,orillia,ontario,canada
11690,"landau, rheinland-pfalz, germany",30,landau,rheinland-pfalz,germany
11708,"auburn, ,",,auburn,,
11709,"davison, michigan, usa",29,davison,michigan,usa
11718,"reno, nevada, usa",,reno,nevada,usa
11724,"west lawn, pennsylvania, usa",42,west lawn,pennsylvania,usa
11788,"jenks, oklahoma, usa",30,jenks,oklahoma,usa
11797,"houston, texas, usa",32,houston,texas,usa
11832,"juneau, alaska, usa",,juneau,alaska,usa
11916,"brooklyn, new york, usa",,brooklyn,new york,usa
11924,"amherst, massachusetts, usa",19,amherst,massachusetts,usa
11944,"santo tirso, porto, portugal",21,santo tirso,porto,portugal
11993,"lakewood, colorado, usa",37,lakewood,colorado,usa
12080,"etobicoke, ontario, canada",50,etobicoke,ontario,canada
12100,"quezon city, national capital region, philippines",26,quezon city,national capital region,philippines
12112,"austin, texas, usa",40,austin,texas,usa
12137,"north vancouver, british columbia, canada",,north vancouver,british columbia,canada
12154,"pittsburgh, pennsylvania, usa",41,pittsburgh,pennsylvania,usa
12194,"redford, michigan, usa",,redford,michigan,usa
12202,"legazpi city, albay, philippines",19,legazpi city,albay,philippines
12238,"oklahoma city, oklahoma, usa",31,oklahoma city,oklahoma,usa
12331,"athens, n/a, greece",31,athens,n/a,greece
12362,"dallas, texas, usa",54,dallas,texas,usa
12488,"nashua, ,",,nashua,,
12489,"houston, texas, usa",26,houston,texas,usa
12512,"deventer, overijssel, netherlands",34,deventer,overijssel,netherlands
12515,"redwood city, california, usa",,redwood city,california,usa
12524,"albuquerque, new mexico, usa",29,albuquerque,new mexico,usa
12537,"byron, minnesota,",,byron,minnesota,
12538,"byron, minnesota, usa",18,byron,minnesota,usa
12567,"raleigh, north carolina, usa",,raleigh,north carolina,usa
12569,"selangor, subang jaya, malaysia",22,selangor,subang jaya,malaysia
12619,"parksville, british columbia, canada",56,parksville,british columbia,canada
12641,"hollywood, florida, usa",25,hollywood,florida,usa
12657,"bremen, bremen, germany",48,bremen,bremen,germany
12692,"jacksonville, florida, usa",,jacksonville,florida,usa
12698,"portland, oregon, usa",32,portland,oregon,usa
12702,"valley stream, new york, usa",31,valley stream,new york,usa
12707,"edmonton, alberta, canada",37,edmonton,alberta,canada
12734,"san jose, california, usa",57,san jose,california,usa
12754,"denver, colorado, usa",,denver,colorado,usa
12756,"san jose, california, usa",,san jose,california,usa
12811,"teaneck, new jersey, usa",,teaneck,new jersey,usa
12824,"long beach, california, usa",18,long beach,california,usa
12835,"hamburg, hamburg, germany",38,hamburg,hamburg,germany
12863,"london, england, united kingdom",29,london,england,united kingdom
12871,"castro valley, california, usa",,castro valley,california,usa
12917,"moore, oklahoma, usa",24,moore,oklahoma,usa
12951,"raleigh, north carolina, usa",35,raleigh,north carolina,usa
12982,"getxo, vizcaya, spain",41,getxo,vizcaya,spain
12990,"denver, colorado, usa",58,denver,colorado,usa
13060,"victoria, british columbia, canada",29,victoria,british columbia,canada
13080,"edmonton, alberta, canada",22,edmonton,alberta,canada
13082,"bellwood, pennsylvania, usa",,bellwood,pennsylvania,usa
13093,"zaragoza, aragon, spain",29,zaragoza,aragon,spain
13126,"mumbai, maharashtra, india",21,mumbai,maharashtra,india
13141,"brighton, england, united kingdom",26,brighton,england,united kingdom
13221,"iqaluit, nunavut, canada",45,iqaluit,nunavut,canada
13259,"raleigh, north carolina, usa",57,raleigh,north carolina,usa
13273,"harrisburg, pennsylvania, usa",,harrisburg,pennsylvania,usa
13279,"moodus, connecticut, usa",,moodus,connecticut,usa
13280,"lakewood, colorado, usa",65,lakewood,colorado,usa
13528,"montreal, quebec, canada",21,montreal,quebec,canada
13540,"doha, doha, qatar",15,doha,doha,qatar
13551,"raleigh, north carolina, usa",,raleigh,north carolina,usa
13552,"cordova, tennessee, usa",32,cordova,tennessee,usa
13582,"lisboa, lisboa, portugal",29,lisboa,lisboa,portugal
13600,"athens, athens, greece",,athens,athens,greece
13604,"charlotte, north carolina, usa",51,charlotte,north carolina,usa
13607,"clayton, north carolina, usa",31,clayton,north carolina,usa
13664,"escondido, california, usa",,escondido,california,usa
13668,"victoria, british columbia, canada",,victoria,british columbia,canada
13682,"monroe, louisiana, usa",31,monroe,louisiana,usa
13754,"arlington, washington, usa",48,arlington,washington,usa
13850,"online, n/a, usa",28,online,n/a,usa
13896,"torrance, california, usa",,torrance,california,usa
13915,"arnprior, ontario, canada",,arnprior,ontario,canada
13935,"lancaster, pennsylvania, usa",36,lancaster,pennsylvania,usa
13973,"las vegas, nevada, usa",18,las vegas,nevada,usa
13995,"adelaide, south australia, australia",,adelaide,south australia,australia
14007,"berkeley, ,",56,berkeley,,
14014,"palatine, illinois, usa",37,palatine,illinois,usa
14049,"burnaby, british columbia, canada",,burnaby,british columbia,canada
14079,"valencia, valencia, spain",41,valencia,valencia,spain
14116,"dallas, texas, usa",31,dallas,texas,usa
14173,"calgary, alberta, canada",,calgary,alberta,canada
14180,"new york, new york, usa",,new york,new york,usa
14183,"tuscaloosa, alabama, usa",,tuscaloosa,alabama,usa
14201,"houston, texas, usa",44,houston,texas,usa
14230,"charlotte, north carolina, usa",30,charlotte,north carolina,usa
14232,"paris, paris, france",23,paris,paris,france
14281,"sebastopol, california, usa",,sebastopol,california,usa
14319,"littleton, colorado, usa",,littleton,colorado,usa
14326,"austin, texas, usa",,austin,texas,usa
14336,"manchester, new hampshire, usa",28,manchester,new hampshire,usa
14374,"porter, maine, usa",57,porter,maine,usa
14387,"coalville, leicestershire, england, united kingdom",35,coalville,leicestershire,"england, united kingdom"
14393,"vienna, ,",,vienna,,
14422,"apple valley, minnesota, usa",,apple valley,minnesota,usa
14423,"austin, texas, usa",28,austin,texas,usa
14449,"saskatoon, saskatchewan, canada",72,saskatoon,saskatchewan,canada
14451,"lisboa, lisboa, portugal",26,lisboa,lisboa,portugal
14456,"edmonton, alberta, canada",27,edmonton,alberta,canada
14461,"aachen, nordrhein-westfalen, germany",31,aachen,nordrhein-westfalen,germany
14517,"guelph, ontario, canada",23,guelph,ontario,canada
14521,"providence, rhode island, usa",,providence,rhode island,usa
14538,"fairbanks, alaska, usa",14,fairbanks,alaska,usa
14638,"roquemaure, languedoc roussillon, france",33,roquemaure,languedoc roussillon,france
14667,"rocky mount, missouri, usa",,rocky mount,missouri,usa
14698,"upstate, new york, usa",,upstate,new york,usa
14744,"corry, pennsylvania, usa",27,corry,pennsylvania,usa
14768,"corvallis, oregon, usa",24,corvallis,oregon,usa
14849,"toronto, ontario, canada",,toronto,ontario,canada
14897,"shiki, saitama, japan",24,shiki,saitama,japan
14966,"waltham, massachusetts, usa",,waltham,massachusetts,usa
15021,"lake mary, florida, usa",37,lake mary,florida,usa
15046,"sydney, nova scotia, canada",25,sydney,nova scotia,canada
15049,"benbrook, texas, usa",28,benbrook,texas,usa
15081,"dunedin, florida, usa",25,dunedin,florida,usa
15093,"davis, california, usa",21,davis,california,usa
15144,"raleigh, ,",,raleigh,,
15185,"santander, cantabria, spain",20,santander,cantabria,spain
15208,"woodside, new york, usa",,woodside,new york,usa
15213,"minneapolis, minnesota, usa",23,minneapolis,minnesota,usa
15230,"calgary, alberta, canada",19,calgary,alberta,canada
15276,"amherst, massachusetts, usa",,amherst,massachusetts,usa
