ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,description,genres_raw,match_method
671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,"Mary Higgins Clark sends chills down readers’ spines with the story of Lacey Farrell, a rising star on the Manhattan real estate scene. One day, while showing a luxurious skyline co-op, Lacey is witness to a murder—and to the dying words of the victim.... The dying woman is convinced that the attacker was after her dead daughter’s journal—which Lacey gives to the police, but not before making a copy for herself. It’s an impulse that later proves nearly fatal.Placed in the witness protection program and sent to live in the Minneapolis area, Lacey must assume a fake identity, at least until the killer can be brought to trial. There she meets Tom Lynch, a radio talk-show host whom she tentatively begins to date—until the strain of deception makes her break it off. Then she discovers the killer has traced her to Minneapolis. Armed with nothing more than her own courage and clues from the journal, Lacey heads back to New York, determined to uncover who’s behind the deaths of the two women—before she’s the next casualty.","['Mystery', 'Fiction', 'Suspense', 'Thriller', 'Mystery Thriller', 'Crime', 'Adult', 'Adult Fiction', 'Romance', 'Romantic Suspense']",isbn
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,"Captain Corelli’s Mandolin is set in the early days of the second world war, before Benito Mussolini invaded Greece. Dr Iannis practices medicine on the island of Cephalonia, accompanied by his daughter, Pelagia, to whom he imparts much of his healing art. Even when the Italians do invade, life isn’t so bad—at first anyway. The officer in command of the Italian garrison is the cultured Captain Antonio Corelli, who responds to a Nazi greeting of “Heil Hitler” with his own “Heil Puccini”, and whose most precious possession is his mandolin. It isn't long before Corelli and Pelagia are involved in a heated affair--despite her engagement to a young fisherman, Mandras, who has gone off to join Greek partisans. Love is complicated enough in wartime, even when the lovers are on the same side. And for Corelli and Pelagia, it becomes increasingly difficult to negotiate the minefield of allegiances, both personal and political, as all around them atrocities mount, former friends become enemies and the ugliness of war infects everyone it touches. British author Louis de Bernières is well known for his forays into magical realism in such novels as The War of Don Emmanuel's Nether Parts, Señor Vivo and the Coca Lord and The Troublesome Offspring of Cardinal Guzman. Here he keeps it to a minimum, though certainly the secondary characters with whom he populates his island—the drunken priest, the strongman, the fisherman who swims with dolphins—would be at home in any of his wildly imaginative Latin American fictions. Instead, de Bernières seems interested in dissecting the nature of history as he tells his ever-darkening tale from many different perspectives. Captain Corelli’s Mandolin works on many levels, as a love story, a war story and a deconstruction of just what determines the facts that make it into the history books.","['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'War', 'Historical', 'Greece', 'World War II', 'Novels', 'Literature']",isbn
446612545,The Beach House,James Patterson,2003,Warner Books,"Jack Mullen is a driven student of the law. His brother Peter is a servant of the rich, parking the cars of the Hamptons' elite --- and perhaps satisfying their more intimate needs as well. Then Peter's body is found on the beach. Jack knows the drowning was no accident, but someone's unlimited power and money have bought the cops, the judges, the system. Now Jack is learning a lesson in justice he never got in law school ... and his astonishing plan to beat the billionaires will have you reeling --- and cheering --- to the very last page.","['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Murder Mystery', 'Adult', 'Adult Fiction', 'Audiobook']",isbn
743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,"America’s #1 true-crime writer fulfills a murder victim’s desperate plea with this shattering New York Times bestseller.“If anything ever happens to me…find Ann Rule and ask her to write my story.” In perhaps the first true-crime book written at the victim's request, Ann Rule untangles a web of lies and brutality that culminated in the murder of Sheila Blackthorne Bellush—a woman Rule never met, but whose shocking story she now chronicles with compassion, exacting detail, and unvarnished candor. Although happily ensconced in a loving second marriage, and a new family of quadruplets, Sheila never truly escaped the vicious enslavement of her ex-husband, multi-millionaire Allen Blackthorne, a handsome charmer— and a violent, controlling sociopath who subjected Sheila to unthinkable abuse in their marriage, and terrorized her for a decade after their divorce. When Sheila was slain in her home, in the presence of her four toddlers, authorities raced to link the crime to Blackthorne, the man who vowed to monitor Sheila's every move in his obsessive quest for power and revenge.","['True Crime', 'Nonfiction', 'Crime', 'Mystery', 'Audiobook', 'Biography', 'Adult', 'True Story', 'Mystery Thriller', 'Dark']",isbn
425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,"How do you save the United States President from himself? What if the President is incompetent to deal with the greatest crisis of all? Jack Ryan never thought he would have to ask those questions as, the world order changing, he prepares the ground for the Middle Eastern peace plan that, at last, might be the one to work.But too many groups have invested too much blood. Shunned by their erstwhile Soviet sponsors, increasingly isolated by the realignment of the Mideast, these terrorists have one more desperate card to play, requiring a degree of ruthlessness never before seen. With one terrible act, the world is plunged into an instant nuclear crisis -- and the floundering President is plunged into the ultimate nightmare. Forces collide. Shots are exchanged. What had seemed to be an isolated and horrible incident appears to each side as the incendiary mischief of the other. With the world poised on the brink of nuclear war, Ryan and his FBI counterpart, Dan Murray, frantically seek a solution before the chiefs of state lose control of themselves -- and the world.","['Fiction', 'Thriller', 'Espionage', 'Action', 'Military Fiction', 'Suspense', 'Adventure', 'Mystery', 'Mystery Thriller', 'Spy Thriller']",isbn
61099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,"The car fire didn't kill Navajo Tribal Policeman Delbert Nez—a bullet did. And the old man in possession of the murder weapon is a whiskey-soaked shaman named Ashie Pinto. Officer Jim Chee is devastated by the slaying of his good friend Del, and confounded by the prime suspect's refusal to utter a single word of confession or denial.Lieutenant Joe Leaphorn believes there is much more to this outrage than what appears on the surface, as he and Jim Chee set out to unravel a complex weave of greed and death that involves a historical find and a lost fortune. But the hungry and mythical trickster Coyote is waiting, as always, in the shadows to add a strange and deadly new twist.","['Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Westerns', 'Detective', 'Native Americans', 'Adult', 'Adult Fiction', 'Thriller']",isbn
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,"Ian McEwan’s symphonic novel of love and war, childhood and class, guilt and forgiveness provides all the satisfaction of a brilliant narrative and the provocation we have come to expect from this master of English prose.On a hot summer day in 1935, thirteen-year-old Briony Tallis witnesses the flirtation between her older sister, Cecilia, and Robbie Turner, the son of a servant. But Briony’s incomplete grasp of adult motives and her precocious imagination bring about a crime that will change all their lives, a crime whose repercussions Atonement follows through the chaos and carnage of World War II and into the close of the twentieth century.","['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'War', 'Literary Fiction', 'Contemporary', 'Literature', 'Novels']",isbn
553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,"Someone is stalking the little town of Silence...Three victims have fallen to a killer’s savage vengeance. Each of the dead men was a successful and respected member of the community — yet each also harbored a dark secret discovered only after his murder. Were their deaths the ultimate punishment for those secrets? Or something even more sinister?Nell Gallagher has come home to Silence more than a decade after leaving one dark night with her own painful secrets. Forced now by family duty to return, she has also come home to settle with the past. But past and present tangle in a murderer’s vicious attacks, and to find the answers she needs, Nell must call on the psychic skills that drove her away years before. She must risk her own life and sanity, and regain the trust of the man she left behind so long ago.For the killer she seeks is seeking her, watching her every move, preying upon her every vulnerability — and already so close she’ll never see death coming...","['Mystery', 'Paranormal', 'Romance', 'Romantic Suspense', 'Fiction', 'Suspense', 'Thriller', 'Crime', 'Paranormal Romance', 'Mystery Thriller']",isbn
140252800,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd,"Jenny's marriage is loveless, and she is having an affair. She works at an old people's home, where she is especially fond of Stella, a gracious, dignified woman dying of cancer - whose own secrets parallel Jenny's - with the difference that she may have been involved in murdering her lover's husband . . .Both a finely crafted mystery and a disturbingly honest depiction of the kinship between love and madness, The Brimstone Wedding tells an unsettling story about the power and the poison of love.","['Mystery', 'Fiction', 'Crime', 'Suspense', 'Thriller', 'Mystery Thriller', 'British Literature', 'Novels', 'Audiobook', 'Adult']",isbn
385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,"Crow Lake is that rare find, a first novel so quietly assured, so emotionally pitch perfect, you know from the opening page that this is the real thing—a literary experience in which to lose yourself, by an author of immense talent.Here is a gorgeous, slow-burning story set in the rural “badlands” of northern Ontario, where heartbreak and hardship are mirrored in the landscape. For the farming Pye family, life is a Greek tragedy where the sins of the fathers are visited on the sons, and terrible events occur—offstage. Centerstage are the Morrisons, whose tragedy looks more immediate if less brutal, but is, in reality, insidious and divisive. Orphaned young, Kate Morrison was her older brother Matt’s protegee, her fascination for pond life fed by his passionate interest in the natural world. Now a zoologist, she can identify organisms under a microscope but seems blind to the state of her own emotional life. And she thinks she’s outgrown her siblings—Luke, Matt, and Bo—who were once her entire world. In this universal drama of family love and misunderstandings, of resentments harbored and driven underground, Lawson ratchets up the tension with heartbreaking humor and consummate control, continually overturning one’s expectations right to the very end. Tragic, funny, unforgettable, this deceptively simple masterpiece about the perils of hero worship leapt to the top of the bestseller lists only days after being released in Canada and earned glowing reviews in The New York Times and The Globe and Mail, to name a few.","['Fiction', 'Canada', 'Contemporary', 'Book Club', 'Family', 'Adult Fiction', 'Literary Fiction', 'Coming Of Age', 'Adult', 'Novels']",isbn
553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,"The strange and wonderful tale of man’s experiences on Mars, filled with intense images and astonishing visions. Now part of the Voyager Classics collection.The Martian Chronicles tells the story of humanity’s repeated attempts to colonize the red planet. The first men were few. Most succumbed to a disease they called the Great Loneliness when they saw their home planet dwindle to the size of a fist. They felt they had never been born. Those few that survived found no welcome on Mars. The shape-changing Martians thought they were native lunatics and duly locked them up.But more rockets arrived from Earth, and more, piercing the hallucinations projected by the Martians. People brought their old prejudices with them – and their desires and fantasies, tainted dreams. These were soon inhabited by the strange native beings, with their caged flowers and birds of flame.Contents:Rocket SummerYllaThe Summer NightThe Earth MenThe TaxpayerThe Third Expedition-And the Moon Be Still As BrightThe SettlersThe Green MorningThe LocustsNight MeetingThe ShoreInterimThe MusiciansWay in the Middle of the AirThe Naming of NamesUsher IIThe Old OnesThe MartianThe Luggage StoreThe Off SeasonThe WatchersThe Silent TownsThe Long YearsThere Will Come Soft RainsThe Million Year Picnic","['Science Fiction', 'Fiction', 'Classics', 'Short Stories', 'Fantasy', 'Science Fiction Fantasy', 'American', 'Audiobook', 'Literature', 'Space']",isbn
3150000335,Kabale Und Liebe,Schiller,0,"Philipp Reclam, Jun Verlag GmbH","ISBNs moved to  this editionThis is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.","['Classics', 'Plays', 'German Literature', 'School', 'Drama', 'Fiction', 'Read For School', 'Literature', 'Romance', '18th Century']",isbn
345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books,"On a cold day in January President Kerry Kilcannon takes the oath of office-- and within days makes his first, most important move: appointing a new Chief Justice of the Supreme Court. Kilcannon's choice is a female judge with a brilliant record. And a secret. While the Senate spars over Caroline Masters' nomination, an inflammatory abortion rights case is making its way toward the judge--and will explode into the headlines. Suddenly, the most divisive issue in America turns the President's nomination into all-out war. And from Judge Masters to a conservative, war-hero senator facing a crisis of conscience and a fifteen-year-old girl battling for her future, no one will be safe. Protect and Defend takes us on a riveting journey between what is legal, what is right . . . and the price of finally knowing the difference.","['Fiction', 'Mystery', 'Thriller', 'Politics', 'Crime', 'Legal Thriller', 'Suspense', 'Adult', 'Mystery Thriller', 'Novels']",isbn
375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,"A heartstrong story of family and romance, tribulation and tenacity, set on the High Plains east of Denver.In the small town of Holt, Colorado, a high school teacher is confronted with raising his two boys alone after their mother retreats first to the bedroom, then altogether. A teenage girl—her father long since disappeared, her mother unwilling to have her in the house—is pregnant, alone herself, with nowhere to go. And out in the country, two brothers, elderly bachelors, work the family homestead, the only world they've ever known.From these unsettled lives emerges a vision of life, and of the town and landscape that bind them together—their fates somehow overcoming the powerful circumstances of place and station, their confusion, curiosity, dignity and humor intact and resonant. As the milieu widens to embrace fully four generations, Kent Haruf displays an emotional and aesthetic authority to rival the past masters of a classic American tradition.Utterly true to the rhythms and patterns of life, Plainsong is a novel to care about, believe in, and learn from.","['Fiction', 'Literary Fiction', 'Contemporary', 'Literature', 'Adult Fiction', 'Novels', 'Book Club', 'Adult', 'Family', 'American']",isbn
425164403,Only Love (Magical Love),Erich Segal,1998,Berkley Publishing Group,"From the author of Love Story, the all-time bestseller cherished by millions... A new story of lovers reunited under the shadow of death...""Entertaining...fast-paced...[Segal] proves once again that Only Love means never having to say you're sorry"". -- Publishers Weekly","['Romance', 'Fiction', 'Indonesian Literature', 'Contemporary', 'Novels', 'Chick Lit', 'Love', 'Adult Fiction', 'Drama']",isbn
446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,"
  In this heart-pounding but touchingly romantic thriller, Detective Alex Cross pursues the most complex and brilliant killer he's ever confronted - mysterious criminal who calls himself the Mastermind.
In a series of crimes that has stunned Washington, D.C., bank robbers have been laying out precise demands when they enter the building - and then killing the bank employees and their families if those instructions are not followed to the letter.Detective Alex Cross takes on the case, certain that this is no ordinary bank robber at work - the pathological need for control and perfection is too great. Cross is in the midst of a personal crisis at home, but the case becomes all-consuming as he learns that the Mastermind is plotting one huge, last, perfect crime.","['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Detective', 'Murder Mystery', 'Adult', 'Police']",isbn
671027387,Deception Point,Dan Brown,2002,Pocket,"A shocking scientific discovery. A conspiracy of staggering brilliance. A thriller unlike any you've ever read....When a NASA satellite discovers an astonishingly rare object buried deep in the Arctic ice, the floundering space agency proclaims a much-needed victory—a victory with profound implications for NASA policy and the impending presidential election. To verify the authenticity of the find, the White House calls upon the skills of intelligence analyst Rachel Sexton. Accompanied by a team of experts, including the charismatic scholar Michael Tolland, Rachel travels to the Arctic and uncovers the unthinkable: evidence of scientific trickery—a bold deception that threatens to plunge the world into controversy. But before she can warn the President, Rachel and Michael are ambushed by a deadly team of assassins. Fleeing for their lives across a desolate and lethal landscape, their only hope for survival is to discover who is behind this masterful plot. The truth, they will learn, is the most shocking deception of all.","['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery Thriller', 'Adventure', 'Crime', 'Novels', 'Science Fiction', 'Action']",isbn
60987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale we heard only her side of the story. But what about her arch-nemesis, the mysterious Witch? Where did she come from? How did she become so wicked? And what is the true nature of evil?Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability, and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to become the infamous Wicked Witch of the West, a smart, prickly, and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.An astonishingly rich re-creation of the land of Oz, this book retells the story of Elphaba, the Wicked Witch of the West, who wasn't so wicked after all. Taking readers past the yellow brick road and into a phantasmagoric world rich with imagination and allegory, Gregory Maguire just might change the reputation of one of the most sinister characters in literature.","['Fantasy', 'Fiction', 'Adult', 'Science Fiction Fantasy', 'Retellings', 'Adult Fiction', 'Magic', 'Witches', 'Fairy Tales', 'Classics']",isbn
375704965,A Judgement in Stone,Ruth Rendell,2000,Vintage Books USA,"What on earth could have provoked a modern day St. Valentine's Day massacre?On Valentine's Day, four members of the Coverdale family--George, Jacqueline, Melinda and Giles--were murdered in the space of 15 minutes. Their housekeeper, Eunice Parchman, shot them, one by one, in the blue light of a televised performance of Don Giovanni. When Detective Chief Superintendent William Vetch arrests Miss Parchman two weeks later, he discovers a second tragedy: the key to the Valentine's Day massacre hidden within a private humiliation Eunice Parchman has guarded all her life.  A brilliant rendering of character, motive, and the heady discovery of truth, A Judgement in Stone is among Ruth Rendell's finest psychological thrillers.","['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'British Literature', 'Suspense', 'Psychological Thriller', 'Womens', 'Contemporary']",isbn
312156960,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,1997,St. Martin's Griffin,"Uther, the High King, has died, leaving the infant Mordred as his only heir. His uncle, the loyal and gifted warlord Arthur, now rules as caretaker for a country which has fallen into chaos - threats emerge from within the British kingdoms while vicious Saxon armies stand ready to invade. As he struggles to unite Britain and hold back the enemy at the gates, Arthur is embroiled in a doomed romance with beautiful Guinevere. Will the old-world magic of Merlin be enough to turn the tide of war in his favour?","['Historical Fiction', 'Fantasy', 'Fiction', 'Arthurian', 'Historical', 'Mythology', 'Medieval', 'Adventure', 'War', 'British Literature']",isbn
312890044,Moonheart (Newford),Charles de Lint,1994,Orb Books,"When Sara and Jamie discovered the seemingly ordinary artifacts, they sensed the pull of a dim and distant place. A world of mists and forests, of ancient magics, mythical beings, ageless bards...and restless evil.Now, with their friends and enemies alike--Blue, the biker; Keiran, the folk musician; the Inspector from the RCMP; and the mysterious Tom Hengyr--Sara and Jamie are drawn into this enchanted land through the portals of Tamson House, that sprawling downtown edifice that straddles two worlds.Sweeping from ancient Wales to the streets of Ottawa today, Moonheart will entrance you with its tale of this world and the other one at the very edge of sight...and the unforgettable people caught up in the affairs of both. A tale of music, and motorcycles, and fey folk beyond the shadows of the moon. A tale of true magic; the tale of Moonheart.","['Fantasy', 'Urban Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Canada', 'Adult', 'Paranormal', 'Magical Realism', 'Young Adult', 'Urban']",isbn
034543191X,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,Del Rey Books,"The poetic style and sweeping grandeur of The King of Elfland's Daughter has made it one of the most beloved fantasy novels of our time, a masterpiece that influenced some of the greatest contemporary fantasists. The heartbreaking story of a marriage between a mortal man and an elf princess is a masterful tapestry of the fairy tale following the ""happily ever after.""","['Fantasy', 'Classics', 'Fiction', 'Fairy Tales', 'High Fantasy', 'Science Fiction Fantasy', 'Literature', 'Romance', 'Novels', 'Epic Fantasy']",isbn
375814248,James and the Giant Peach,ROALD DAHL,2002,Knopf Books for Young Readers,"When James accidentally drops some magic crystals by the old peach tree, strange things start to happen. The peach at the top of the tree begins to grow, and before long it's as big as a house. When James discovers a secret entranceway into the fruit and crawls inside, he meets wonderful new friends--the Old-Green-Grasshopper, the dainty Ladybug, and the Centipede of the multiple boots. After years of feeling like an outsider in his aunts' house, James finally found a place where he belongs. With a snip of the stem, the peach household starts rolling away--and the adventure begins!Roald Dahl's first and most widely celebrated book for young people continues to thrill readers around the world.""This is a stunning book to be cherished for its story, a superb fantasy.""--Chicago Tribune""A beautifully written, fantastic book.""--Christian Science Monitor","['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure', 'Juvenile', 'Humor', 'Chapter Books']",isbn
439510112,Born Confused,Tanuja Desai Hidier,2003,Push,"Dimple Lala doesn't know what to think. Her parents are from India, and she's spent her whole life resisting their traditions. Then suddenly she gets to high school and everything Indian is trendy. To make matters worse, her parents arrange for her to meet a ""suitable boy."" Of course it doesn't go well -- until Dimple goes to a club and finds him spinning a magical web . Suddenly the suitable boy is suitable because of his sheer unsuitability. Complications ensue. This is a funny, thoughtful story about finding your heart, finding your culture, and finding your place in America.","['Young Adult', 'Fiction', 'Romance', 'Contemporary', 'Realistic Fiction', 'Coming Of Age', 'India', 'Teen', 'Chick Lit', 'Cultural']",isbn
440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,"Becky Bloomwood has a fabulous flat in London’s trendiest neighborhood, a troupe of glamorous socialite friends, and a closet brimming with the season’s must-haves. The only trouble is, she can’t actually afford it—not any of it. Her job writing at Successful Saving magazine not only bores her to tears, it doesn’t pay much at all. And lately Becky’s been chased by dismal letters from the bank—letters with large red sums she can’t bear to read. She tries cutting back. But none of her efforts succeeds. Her only consolation is to buy herself something . . . just a little something. Finally a story arises that Becky actually cares about, and her front-page article catalyzes a chain of events that will transform her life—and the lives of those around her—forever.","['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Humor', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Comedy', 'Young Adult']",isbn
